"Tijdstempel","Participantnummer (bijv. Virginia-01)","Heb je de sliders en checkboxes gebruikt?","Vul je mening in [Ik denk dat ik dit systeem vaak zal gebruiken]","Vul je mening in [Ik vind dit systeem onnodig complex.]","Vul je mening in [Ik vind dit systeem makkelijk te gebruiken]","Vul je mening in [Ik denk dat ik technisch support nodig heb om dit systeem te kunnen gebruiken]","Vul je mening in [Ik vind de verschillende functies van dit systeem goed geïntegreerd]","Vul je mening in [Ik vind dat er teveel inconsistentie in het systeem zit]","Vul je mening in [Ik kan me voorstellen dat de meeste mensen snel door hebben hoe ze dit systeem moeten gebruiken]","Vul je mening in [Ik vind dit systeem erg omslachtig]","Vul je mening in [Ik voel me zelfverzekerd om dit systeem te gebruiken]","Vul je mening in [Ik moet veel leren over dit systeem voordat ik het goed kan gebruiken]"
"2019/12/05 12:49:24 p.m. CET","Karen-01","Ja","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","2","4","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/07 5:03:46 p.m. CET","Karen-02","Ja","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","2","4","1 (helemaal eens)","4","2","5 (helemaal oneens)"
"2019/12/09 10:50:04 p.m. CET","Virginia-01","Ja","3","2","2","5 (helemaal oneens)","2","4","1 (helemaal eens)","4","3","5 (helemaal oneens)"
"2019/12/09 11:01:20 p.m. CET","Virginia-02","Ja","2","4","2","4","1 (helemaal eens)","3","2","4","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/09 11:07:17 p.m. CET","Virginia-03","Ja","5 (helemaal oneens)","1 (helemaal eens)","3","5 (helemaal oneens)","5 (helemaal oneens)","4","3","3","2","5 (helemaal oneens)"
"2019/12/12 4:26:10 p.m. CET","Karen-03","Ja","3","5 (helemaal oneens)","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","3","5 (helemaal oneens)"
"2019/12/13 8:35:03 p.m. CET","Jetske-01","Ja","2","3","2","5 (helemaal oneens)","2","5 (helemaal oneens)","3","5 (helemaal oneens)","1 (helemaal eens)","3"
"2019/12/13 8:45:32 p.m. CET","jetske-02","Ja","4","2","4","1 (helemaal eens)","4","1 (helemaal eens)","4","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)"
"2019/12/13 9:08:14 p.m. CET","Jetske-03","Ja","3","4","1 (helemaal eens)","","1 (helemaal eens)","4","1 (helemaal eens)","","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/14 12:53:18 p.m. CET","Virginia-04","Ja","1 (helemaal eens)","5 (helemaal oneens)","2","5 (helemaal oneens)","1 (helemaal eens)","3","2","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/14 1:02:49 p.m. CET","Virginia-05","Ja","2","5 (helemaal oneens)","2","5 (helemaal oneens)","3","4","1 (helemaal eens)","4","1 (helemaal eens)","5 (helemaal oneens)"
"2019/12/14 1:11:28 p.m. CET","Virginia-06","Ja","3","2","2","5 (helemaal oneens)","2","5 (helemaal oneens)","3","5 (helemaal oneens)","2","3"
"2019/12/15 7:25:20 p.m. CET","Jetske-04","Ja","4","3","3","2","2","3","3","2","3","3"
"2019/12/15 7:59:34 p.m. CET","Jetske-05","Ja","1 (helemaal eens)","3","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)","1 (helemaal eens)","5 (helemaal oneens)"